DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,OFFERED_CAPACITY_PRICE_[EUR/MW],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,SETTLEMENTCAPACITY_PRICE_[EUR/MW],NOTE,measurement_name,date_valid
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,4,4,AT,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,4,4,AT,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,4,4,AT,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,4,4,AT,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.04,10,10,CZ,56.0,INDIVISIBLE,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.04,10,10,CZ,56.0,INDIVISIBLE,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.04,10,10,CZ,56.0,INDIVISIBLE,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.04,10,10,CZ,56.0,INDIVISIBLE,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.12,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.12,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.12,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.12,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.24,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.24,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.24,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.24,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.25,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.25,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.25,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.25,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.4,4,4,CZ,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.4,4,4,CZ,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.4,4,4,CZ,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.4,4,4,CZ,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.4,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.4,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.4,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.4,7,7,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.48,11,11,CZ,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.48,11,11,CZ,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
